ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,tax_assessed_value,overpriced,date
13804 Springstone Dr,Clifton,VA,20124,639000,595360.0,43640.0,2021-08-30
7750 Brandeis Way,Springfield,VA,22153,449977,372480.0,77497.0,2021-08-30
4413 Holborn Ave,Annandale,VA,22003,749900,644160.0,105740.0,2021-08-30
6000 Wilmington Dr,Burke,VA,22015,680000,569440.0,110560.0,2021-08-30
5934 Burnside Landing Dr,Burke,VA,22015,759900,671960.0,87940.0,2021-08-30
8215 Cedar Landing Ct,Alexandria,VA,22306,524900,514460.0,10440.0,2021-08-30
4669 Luxberry Dr,Fairfax,VA,22032,629900,515810.0,114090.0,2021-08-30
5408 Cheyenne Knoll Pl,Alexandria,VA,22312,609000,541870.0,67130.0,2021-08-30
5832 Canvasback Rd,Burke,VA,22015,495000,414220.0,80780.0,2021-08-30
5804 Wood Laurel,Burke,VA,22015,570000,560410.0,9590.0,2021-08-30
9603 Lincolnwood Dr,Burke,VA,22015,714900,599200.0,115700.0,2021-08-30
2635 New Banner Ln,Herndon,VA,20171,649900,566440.0,83460.0,2021-08-30
5510 Maplefield Pl,Alexandria,VA,22310,515000,448080.0,66920.0,2021-08-30
4101 Downing St,Annandale,VA,22003,780000,579900.0,200100.0,2021-08-30
9614 Potters Hill Cir,Lorton,VA,22079,589900,490150.0,99750.0,2021-08-30
1549 Hiddenbrook Dr,Herndon,VA,20170,574900,469830.0,105070.0,2021-08-30
6539 Renwood Ln,Annandale,VA,22003,749950,678650.0,71300.0,2021-08-30
3915 Fairfax Pkwy,Alexandria,VA,22312,635000,522370.0,112630.0,2021-08-30
8321 Electric Ave,Vienna,VA,22182,750000,656650.0,93350.0,2021-08-30
8018 Sky Blue Dr,Alexandria,VA,22315,495000,455820.0,39180.0,2021-08-30
1532 Park Glen Ct,Reston,VA,20190,519999,437730.0,82269.0,2021-08-30
13593 Big Boulder Rd,Herndon,VA,20171,549994,469380.0,80614.0,2021-08-30
12825 Pinecrest Rd,Herndon,VA,20171,664900,527670.0,137230.0,2021-08-30
13046 Limestone Ct,Clifton,VA,20124,565000,479950.0,85050.0,2021-08-30
7909 Double Creek Ct,Springfield,VA,22153,724900,575690.0,149210.0,2021-08-30
5503 Calhoun Ave,Alexandria,VA,22311,800000,645097.0,154903.0,2021-08-30
13644 Cedar Run Ln,Herndon,VA,20171,674900,586050.0,88850.0,2021-08-30
13611 Flying Squirrel Dr,Herndon,VA,20171,529990,471630.0,58360.0,2021-08-30
8227 Kings Arm Dr,Alexandria,VA,22308,745000,581070.0,163930.0,2021-08-30
6426 Selby Ct,Centreville,VA,20121,510000,373830.0,136170.0,2021-08-30
208 Meeting House Station Sq,Herndon,VA,20170,599000,535650.0,63350.0,2021-08-30
5530 Kendrick Ln,Burke,VA,22015,545000,427770.0,117230.0,2021-08-30
10499 West Dr,Fairfax,VA,22030,749995,718500.0,31495.0,2021-08-30
14742 Gatwick Sq,Centreville,VA,20120,413900,339970.0,73930.0,2021-08-30
2503 Stirrup Ln,Alexandria,VA,22308,729900,593300.0,136600.0,2021-08-30
8516 Doyle Dr,Alexandria,VA,22308,699900,608170.0,91730.0,2021-08-30
4403 Coldbrooke Ct,Alexandria,VA,22306,639900,534280.0,105620.0,2021-08-30
2112 Belle View Blvd,Alexandria,VA,22307,689000,511230.0,177770.0,2021-08-30
10440 Stallworth Ct,Fairfax,VA,22032,750000,554740.0,195260.0,2021-08-30
8930 Ataturk Way,Lorton,VA,22079,629990,509920.0,120070.0,2021-08-30
4802 Tapestry Dr,Fairfax,VA,22032,675000,578290.0,96710.0,2021-08-30
3846 Gallows Rd,Annandale,VA,22003,731000,592730.0,138270.0,2021-08-30
10118 Oakwood Chase Ct,Oakton,VA,22124,659900,588340.0,71560.0,2021-08-30
6219 Split Creek Ln,Alexandria,VA,22312,735000,620720.0,114280.0,2021-08-30
12585 Birkdale Way,Fairfax,VA,22030,689900,567740.0,122160.0,2021-08-30
1576 Goldenrain Ct,Reston,VA,20190,499000,433870.0,65130.0,2021-08-30
6213 Squires Hill Dr,Falls Church,VA,22044,649500,592130.0,57370.0,2021-08-30
3131 Cofer Rd,Falls Church,VA,22042,649900,572720.0,77180.0,2021-08-30
13600 Bridgeland Ln,Clifton,VA,20124,617000,547380.0,69620.0,2021-08-30
11994 Sentinel Point Ct,Reston,VA,20191,539500,453610.0,85890.0,2021-08-30
8468 Falling Leaf Rd,Springfield,VA,22153,725000,574820.0,150180.0,2021-08-30
13839 Wakley Ct,Centreville,VA,20121,465400,396650.0,68750.0,2021-08-30
6024 Crown Royal Cir,Alexandria,VA,22310,542900,456110.0,86790.0,2021-08-30
